                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.799,                 2.3897,                 1.5157,                0.41724,                0.36719,                0.31722,                0.11335,                 2.0945,                  2.675,                 1.8742,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.8607,                 2.0224,                 1.5352,                0.39805,                0.34614,                0.29444,                0.10597,                  2.141,                 2.5471,                 1.9896,              0.0012645,              0.0012645,              0.0012645
                      3,                 1.8715,                 1.9068,                 1.5671,                0.50163,                0.38281,                0.35098,                0.12999,                 2.1456,                  2.278,                 1.9756,              0.0017993,              0.0017993,              0.0017993
                      4,                 1.8517,                 1.8347,                 1.5453,                 0.4071,                0.40768,                0.34278,                0.12932,                 2.0711,                 2.1524,                 1.8883,               0.001703,               0.001703,               0.001703
                      5,                  1.798,                 1.7674,                 1.5044,                0.50141,                0.42188,                0.41187,                 0.1816,                 1.9863,                 1.9196,                 1.8293,               0.001604,               0.001604,               0.001604
                      6,                 1.7616,                 1.7174,                  1.483,                0.39463,                0.46484,                0.37855,                0.15523,                 1.9483,                 1.9007,                 1.7593,               0.001505,               0.001505,               0.001505
                      7,                 1.7164,                 1.6403,                 1.4514,                0.48968,                0.37891,                0.39768,                 0.1826,                 1.9837,                 2.0809,                 1.8036,               0.001406,               0.001406,               0.001406
                      8,                 1.7057,                 1.6479,                 1.4426,                0.45811,                0.48544,                0.40953,                0.17913,                 1.9579,                 1.9572,                 1.7549,               0.001307,               0.001307,               0.001307
                      9,                 1.6822,                 1.5835,                 1.4269,                0.47541,                0.44531,                0.42347,                0.18415,                 1.9511,                 1.8465,                 1.7696,               0.001208,               0.001208,               0.001208
                     10,                 1.6498,                 1.5401,                 1.4148,                0.44613,                0.44922,                0.40875,                0.18241,                 1.9365,                 1.8512,                 1.7669,               0.001109,               0.001109,               0.001109
                     11,                 1.6895,                 1.5907,                 1.4355,                0.46647,                0.42578,                 0.4011,                0.18103,                 1.9763,                 1.8618,                 1.7406,                0.00101,                0.00101,                0.00101
                     12,                 1.6841,                 1.5379,                 1.4249,                0.57251,                0.47266,                0.49897,                0.23041,                 1.9285,                 1.7112,                 1.7365,               0.000911,               0.000911,               0.000911
                     13,                 1.6424,                 1.4868,                 1.4074,                0.54479,                0.39062,                0.42009,                0.20283,                 1.9302,                 1.7998,                 1.7497,               0.000812,               0.000812,               0.000812
                     14,                 1.6098,                 1.4406,                 1.3816,                0.54377,                0.35156,                0.38665,                0.16729,                 1.9728,                 1.8783,                  1.778,               0.000713,               0.000713,               0.000713
                     15,                 1.5992,                 1.3999,                 1.3713,                0.55544,                0.45703,                0.48006,                0.22054,                 1.9154,                 1.6909,                 1.7198,               0.000614,               0.000614,               0.000614
                     16,                 1.5663,                  1.355,                 1.3531,                0.57963,                0.40397,                0.41991,                0.19109,                 1.9259,                  1.794,                 1.7158,               0.000515,               0.000515,               0.000515
                     17,                 1.5477,                 1.3155,                 1.3436,                0.53237,                0.41797,                0.44748,                0.21728,                 1.9273,                 1.7823,                 1.7491,               0.000416,               0.000416,               0.000416
                     18,                 1.5161,                 1.2717,                 1.3183,                0.55519,                0.46094,                0.49566,                0.23285,                 1.8916,                 1.6474,                 1.7116,               0.000317,               0.000317,               0.000317
                     19,                 1.4804,                 1.2341,                 1.2968,                0.57274,                0.44531,                0.47466,                0.21733,                 1.9336,                 1.6489,                 1.7526,               0.000218,               0.000218,               0.000218
                     20,                 1.4661,                 1.1986,                 1.2853,                0.56377,                0.42969,                0.45946,                0.21586,                 1.9466,                 1.6684,                 1.7603,               0.000119,               0.000119,               0.000119
