                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8893,                 2.0954,                 1.6686,                0.28143,                0.33984,                0.22756,                0.07531,                 2.3475,                 4.4094,                  2.324,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.9532,                 2.0118,                 1.7107,                0.14742,                0.30078,                 0.0997,                0.03207,                 2.2938,                 2.7578,                 2.1604,              0.0012645,              0.0012645,              0.0012645
                      3,                 1.9315,                 1.9587,                 1.6859,                0.32153,                0.34375,                0.28144,                0.09651,                  2.231,                 2.3996,                 2.1346,              0.0017993,              0.0017993,              0.0017993
                      4,                 1.8804,                 1.8819,                 1.6271,                 0.3444,                0.42272,                0.32147,                0.11485,                 2.0968,                 2.3683,                   2.01,               0.001703,               0.001703,               0.001703
                      5,                 1.8305,                 1.8066,                 1.5975,                0.48003,                0.39844,                0.42652,                0.18248,                 2.0273,                 1.9283,                  1.932,               0.001703,               0.001703,               0.001703
                      6,                 1.7846,                  1.764,                 1.5699,                0.43131,                0.42366,                0.41323,                0.17005,                 1.9936,                 1.9888,                 1.9033,               0.001604,               0.001604,               0.001604
                      7,                 1.7487,                 1.6889,                  1.543,                0.41763,                0.42298,                0.37269,                0.16292,                 2.0095,                 2.0053,                 1.9533,               0.001505,               0.001505,               0.001505
                      8,                 1.7305,                 1.6468,                 1.5258,                0.43807,                0.39588,                0.36576,                0.15797,                 2.0016,                 2.0025,                 1.9256,               0.001406,               0.001406,               0.001406
                      9,                 1.6984,                 1.6144,                 1.5093,                0.45167,                0.35156,                0.35154,                0.16324,                 2.0588,                  2.065,                 1.9496,               0.001307,               0.001307,               0.001307
                     10,                 1.6564,                 1.5554,                 1.4896,                0.40903,                0.42988,                0.37436,                0.16464,                 1.9395,                 1.8429,                 1.8554,               0.001208,               0.001208,               0.001208
                     11,                 1.7085,                  1.605,                 1.5198,                0.37753,                0.45725,                0.38573,                0.16721,                 1.9545,                 1.8833,                 1.8491,               0.001109,               0.001109,               0.001109
                     12,                 1.7036,                 1.5715,                  1.513,                0.47757,                0.45703,                0.43398,                0.19646,                 1.9587,                  1.825,                   1.88,                0.00101,                0.00101,                0.00101
                     13,                  1.656,                 1.5369,                 1.4802,                 0.4844,                0.48047,                0.44218,                0.19399,                 1.9425,                 1.7473,                  1.864,               0.000911,               0.000911,               0.000911
                     14,                 1.6224,                 1.4731,                  1.454,                0.42758,                    0.5,                 0.4137,                0.19255,                 1.9152,                 1.8513,                 1.8413,               0.000812,               0.000812,               0.000812
                     15,                 1.5985,                 1.4311,                 1.4272,                0.51612,                0.42578,                0.45228,                0.21904,                 1.8853,                 1.7532,                 1.8195,               0.000713,               0.000713,               0.000713
                     16,                 1.5726,                 1.3883,                 1.4267,                0.41495,                0.46484,                0.40933,                0.18901,                 1.9055,                 1.7686,                  1.864,               0.000614,               0.000614,               0.000614
                     17,                 1.5497,                 1.3484,                 1.4068,                0.45157,                0.48889,                0.40892,                0.18868,                 1.9551,                 1.7851,                 1.8754,               0.000515,               0.000515,               0.000515
                     18,                 1.5268,                 1.3127,                 1.3956,                0.46678,                0.47266,                0.41777,                0.18325,                 1.8879,                 1.7123,                 1.8181,               0.000416,               0.000416,               0.000416
                     19,                 1.4994,                 1.2679,                 1.3751,                0.54306,                0.48747,                   0.46,                0.21369,                 1.9144,                 1.6326,                 1.8486,               0.000317,               0.000317,               0.000317
                     20,                 1.4591,                 1.2141,                 1.3588,                0.49141,                    0.5,                0.43523,                0.20158,                 1.9132,                 1.7083,                 1.8881,               0.000218,               0.000218,               0.000218
